payer,cpt_code,description,allowed_amount,effective_date
Cigna,98970,"Non-physician online digital assessment, 5-10 min",,
Cigna,98971,"Non-physician online digital assessment, 11-20 min",,
Cigna,98972,"Non-physician online digital assessment, 21+ min",,
Cigna,99441,"Telephone E/M, 5-10 min",37.61,
Cigna,99442,"Telephone E/M, 11-20 min",51.26,
Cigna,99443,"Telephone E/M, 21-30 min",80.56,
Cigna,G2010,Remote review of patient-submitted image/video,,
Cigna,G2012,"Virtual check-in (brief communication, 5-10 min)",,
Cigna,99401,"Preventive counseling, approx 15 min",,
Cigna,99402,"Preventive counseling, approx 30 min",,
Cigna,99403,"Preventive counseling, approx 45 min",,
Cigna,99404,"Preventive counseling, approx 60 min",70,
Cigna,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
